x1,x2,price_group,price
1.5329745,9.778401,400k to 600k ($),564000
29.914185,-3.7303538,400k to 600k ($),529000
0.99457794,7.8090105,400k to 600k ($),579000
33.33142,-3.6089284,400k to 600k ($),575000
46.386658,17.915546,400k to 600k ($),549900
40.241127,23.226757,600k to 800k ($),600000
-10.832571,14.587565,400k to 600k ($),509000
28.389622,27.535826,400k to 600k ($),599000
7.12405,-38.025547,400k to 600k ($),539000
12.4731245,-4.7536564,400k to 600k ($),539000
-7.0874977,18.27499,400k to 600k ($),599999
-7.9069695,20.421768,400k to 600k ($),539000
18.436497,0.799177,400k to 600k ($),585000
39.27839,20.132793,400k to 600k ($),584000
-29.835005,-12.826144,400k to 600k ($),585000
-0.7378606,8.743554,400k to 600k ($),510000
-29.037088,19.378187,400k to 600k ($),589900
-0.63141924,8.854549,400k to 600k ($),544000
23.196417,-26.59454,400k to 600k ($),575000
-6.939758,21.344389,400k to 600k ($),503500
52.412304,-7.0220847,400k to 600k ($),550000
-7.206361,25.809462,400k to 600k ($),599900
23.590874,30.06359,400k to 600k ($),599000
-5.5555654,32.61392,400k to 600k ($),522371
46.27246,21.42082,400k to 600k ($),525000
42.163258,20.884941,400k to 600k ($),514999
44.07051,17.877474,400k to 600k ($),579000
-6.9494524,21.387188,400k to 600k ($),508900
50.74133,18.536968,600k to 800k ($),600000
-0.72489065,8.730488,400k to 600k ($),521000
27.435198,-19.401518,400k to 600k ($),525000
-9.021356,18.494017,400k to 600k ($),563500
44.83972,13.545005,400k to 600k ($),580000
-14.132243,29.53451,400k to 600k ($),531375
-0.73791826,8.744888,400k to 600k ($),549000
-12.304999,31.16223,400k to 600k ($),539400
10.682539,10.765599,400k to 600k ($),539900
-9.42597,25.124578,400k to 600k ($),573000
10.696182,10.773623,400k to 600k ($),524900
14.740847,15.5561075,400k to 600k ($),580000
-30.389647,32.708168,400k to 600k ($),529990
-24.828619,-10.195392,400k to 600k ($),511900
-25.854742,25.461777,400k to 600k ($),584995
14.666552,-10.699387,400k to 600k ($),508900
31.937626,-5.9793425,400k to 600k ($),599500
-46.484966,-5.9053607,400k to 600k ($),534500
-7.2837095,22.230759,400k to 600k ($),518900
-12.978543,28.978037,400k to 600k ($),517200
-27.312223,32.79958,400k to 600k ($),587495
-6.9378123,25.653326,400k to 600k ($),539900
-29.98226,12.661298,400k to 600k ($),507179
-7.291003,22.212742,400k to 600k ($),512500
-25.195393,-9.784091,400k to 600k ($),526900
14.626192,-10.706606,400k to 600k ($),532900
30.28984,-8.339345,400k to 600k ($),585000
-6.9549956,25.63585,400k to 600k ($),574900
-9.435469,25.017641,400k to 600k ($),514900
29.821688,-9.346478,400k to 600k ($),579370
29.874529,-9.366101,400k to 600k ($),579370
-7.205949,25.807993,400k to 600k ($),564900
-26.154724,-9.787894,400k to 600k ($),520900
-7.2053003,25.809652,400k to 600k ($),569900
-0.7627479,8.83386,400k to 600k ($),594000
-7.2059984,25.80789,400k to 600k ($),534900
-9.426275,25.12466,400k to 600k ($),579900
-13.044645,29.256758,400k to 600k ($),516025
1.1822829,8.579654,400k to 600k ($),566775
-6.2517967,26.72578,400k to 600k ($),589900
-26.014704,-9.707151,400k to 600k ($),516900
-24.725584,-10.34675,400k to 600k ($),517900
15.051,-9.512294,400k to 600k ($),549900
29.151575,-9.592525,400k to 600k ($),575230
-9.427004,25.009829,400k to 600k ($),554500
-12.307501,31.160435,400k to 600k ($),584000
-6.2517967,26.72578,400k to 600k ($),589900
-9.431899,25.015,400k to 600k ($),572900
-6.962068,25.604282,400k to 600k ($),564900
-4.072115,18.280134,400k to 600k ($),545600
-14.475144,11.714517,600k to 800k ($),639000
-15.680768,-7.597282,600k to 800k ($),625000
-9.354064,15.899462,600k to 800k ($),619900
48.18875,24.049534,600k to 800k ($),640000
-23.513273,4.1242003,600k to 800k ($),655000
-8.081506,10.27396,600k to 800k ($),635000
-11.506756,12.364596,600k to 800k ($),685000
-0.7263675,16.078255,600k to 800k ($),635499
28.368523,-9.425809,600k to 800k ($),699000
46.36897,25.33848,600k to 800k ($),649900
31.591946,-10.159849,600k to 800k ($),679900
-4.646357,14.085217,600k to 800k ($),645430
-4.620723,12.017084,600k to 800k ($),650000
46.56181,19.290052,600k to 800k ($),674900
-29.037191,19.377947,600k to 800k ($),604900
38.908707,19.659948,600k to 800k ($),610000
-5.427095,15.37263,600k to 800k ($),640000
42.11755,-6.28562,600k to 800k ($),695000
-6.2834506,26.505966,600k to 800k ($),660720
42.12443,21.388315,600k to 800k ($),689000
49.77758,18.370789,600k to 800k ($),625000
51.107224,19.172348,600k to 800k ($),649000
-0.69500786,8.859611,600k to 800k ($),684000
-0.7528978,8.794216,600k to 800k ($),601000
-1.1001648,11.72394,600k to 800k ($),635000
-34.26497,3.102445,600k to 800k ($),623037
-5.4448047,18.323885,600k to 800k ($),687840
-0.6733581,8.755283,600k to 800k ($),615000
-3.5558624,17.135403,600k to 800k ($),619999
-6.2832427,26.648338,600k to 800k ($),609900
-6.283515,26.505978,600k to 800k ($),660720
-0.7034378,8.84187,600k to 800k ($),690000
-5.393831,18.266058,600k to 800k ($),652080
-4.767786,21.222729,600k to 800k ($),699000
-0.5978675,8.785414,600k to 800k ($),610000
-6.249687,15.656309,600k to 800k ($),690000
-27.337332,32.759445,600k to 800k ($),648335
-8.086851,16.75161,600k to 800k ($),699999
-0.6723723,8.899707,600k to 800k ($),610000
29.007929,-9.537097,600k to 800k ($),631580
-26.260199,-9.75579,600k to 800k ($),619900
29.233772,-9.573728,600k to 800k ($),631580
29.727007,-9.385248,600k to 800k ($),625600
-24.514738,-10.199366,600k to 800k ($),699900
